PokemonId,DexId,Name,InternalName,Type1,Type2,HP,Attack,Defense,SpAtk,SpDef,Speed,GenderRate,GrowthRate,BaseEXP,EVHP,EVAttack,EVDefense,EVSpAtk,EVSpDef,EVSpeed,Rareness,Happiness,Ability1,Ability2,HiddenAbility,EggGroup1,EggGroup2,HatchSteps,Height,Weight,Color,Shape,Habitat,RegionalNum,Kind,DexEntry,BattlerPlayerY,BattlerEnemyY,BattlerAltitude,Icon,FrontSprite,BackSprite,Artwork,Exclude
1,722,Kokoala,KOKOALA,GRASS,NULL,60,57,55,48,55,38,FemaleOneEighth,Parabolic,64,1,0,0,0,0,0,45,70,OVERGROW,NULL,NULL,Monster,Grass,5355,6.9,0,Green,1,Forest,0,Coconut,"It's lazy, and spends most of its life clinging to trees. It's very unintelligent and clumsy, so it often ends up falling. Its tough skull is developed to protect itself from these falls. Its nose generates a liquid that allows it to survive weeks without hunting for food.",0,0,0,NULL,NULL,NULL,NULL,0
2,723,Cocombat,COCOMBAT,GRASS,DARK,95,65,80,55,75,45,FemaleOneEighth,Parabolic,64,2,0,0,0,0,0,45,70,OVERGROW,NULL,NULL,Monster,Grass,5355,25,0,Green,1,Forest,0,Coconut,"Beware entering forests inhabited by this Pokémon. It stays on tree tops to drop on people from above with their hard shells. This behavior is often considered by tourists to be a myth, but it is very real.",0,0,0,NULL,NULL,NULL,NULL,0
3,724,Dropokol,KOWOMNUT,GRASS,DARK,125,75,100,75,95,65,FemaleOneEighth,Parabolic,64,3,0,0,0,0,0,45,70,OVERGROW,NULL,NULL,Monster,Grass,5355,148,0,Green,1,Forest,0,Coconut,"It's very durable, as it can use its retractable plates to create a shell around its entire body. Anything unfortunate enough to be directly under it as it falls is crushed instantly. Sometimes Kokoala hang off the trunks growing on its back, which it then throws as weapons.",0,0,0,NULL,NULL,NULL,NULL,0
4,725,Pyroo,PYROO,FIRE,NULL,44,60,50,53,48,58,FemaleOneEighth,Parabolic,64,0,1,0,0,0,0,45,70,BLAZE,NULL,NULL,Monster,NULL,5355,6.4,0,Yellow,1,Grassland,0,Joey,"It trains its legs by constantly jumping around. The flame on its tail balances the kinetic energy it generates. The red parts of its fur are warmer than usual and ignite easily when it moves.  ",0,0,0,NULL,NULL,NULL,NULL,0
5,726,Wallopy,WALLOPY,FIRE,FIGHTING,55,95,75,55,45,80,FemaleOneEighth,Parabolic,64,0,2,0,0,0,0,45,70,BLAZE,NULL,NULL,Monster,NULL,5355,20,0,Brown,1,Grassland,0,Kangaroo,Its fists automatically ignite from the energy generated by the speed of its punches. It's highly competitive. Its tail often gets crooked from accidents during training. The crookedness of its tail is a good indicator of its age.,0,0,0,NULL,NULL,NULL,NULL,0
6,727,Jumblitz,JUMBLITZ,FIRE,FIGHTING,75,125,95,75,65,100,FemaleOneEighth,Parabolic,64,0,3,0,0,0,0,45,70,BLAZE,NULL,NULL,Monster,NULL,5355,80,0,Red,1,Grassland,0,Brawler,"The thermal energy that its body generates leaks out of its skin and hardens into armor. Its punches and kicks generate enough heat to leave a 3rd-degree burn upon impact. Boxers learn their techniques from this Pokémon, and Jumblitz are often used as mascots during sporting competitions.",0,0,0,NULL,NULL,NULL,NULL,0
7,728,Taplat,TAPLAT,WATER,NULL,55,45,45,62,62,50,FemaleOneEighth,Parabolic,64,0,0,0,1,0,0,45,70,TORRENT,NULL,NULL,Water1,Field,5355,6.1,0,Blue,1,WatersEdge,0,River Child,"It can detect anything nearby, and its tail points to the direction it senses danger so it can warn other Pokémon. Its tail also stores water that it uses to launch attacks.",0,0,0,NULL,NULL,NULL,NULL,0
8,729,Platsplash,PLATSPLASH,WATER,PSYCHIC,55,55,65,95,75,80,FemaleOneEighth,Parabolic,64,0,0,0,1,1,0,45,70,TORRENT,NULL,NULL,Water1,Field,5355,18,0,Blue,1,WatersEdge,0,Reception,"The organ near its bill gives it a sixth sense that allows it to detect the location of anything within a large radius of itself. It doesn't bother using its eyes while swimming, since it can swim safely even in dangerous rivers with its other senses.",0,0,0,NULL,NULL,NULL,NULL,0
9,730,Psykapp,PSYKAPP,WATER,PSYCHIC,75,75,65,100,125,95,FemaleOneEighth,Parabolic,64,0,0,0,1,2,0,45,70,TORRENT,NULL,NULL,Water1,Field,5355,70,0,Blue,1,WatersEdge,0,Sensory,"It has a second brain located near its back. Its ESP is so strong that its nerves glow while using its abilities. The red spot on its head can generate water, and it can inject a strange substance with its fingertips that causes bad headaches.",0,0,0,NULL,NULL,NULL,NULL,0
10,731,Opossol,OPOSSOL,NORMAL,NULL,39,51,44,35,44,42,Female50Percent,Medium,51,0,1,0,0,0,0,255,70,PRANKSTER,RATTLED,NULL,Field,NULL,4080,6,0,Gray,1,Grassland,0,Possum,"It repels predators by pretending to faint and emitting a strange rotten smell. However, this ruse doesn't always work.",0,0,0,NULL,NULL,NULL,NULL,0
11,732,Possorow,POSSOROW,NORMAL,GHOST,70,92,70,80,70,101,Female50Percent,Medium,145,0,1,0,0,0,1,127,70,PRANKSTER,ADAPTABILITY,NULL,Field,NULL,4080,40,0,Blue,1,Grassland,0,Possum,"Scientists have had difficulty determining whether this Pokémon is playing dead or if it is actually dead. Some people believe its act of ""playing dead"" is actually the Pokémon channeling spirits. Its adapts easily and can survive seemingly anything. It has a repulsive smell.",0,0,0,NULL,NULL,NULL,NULL,0
12,733,Rypeck,RYPECK,NORMAL,FLYING,40,60,35,30,25,55,Female50Percent,Parabolic,49,0,1,0,0,0,0,255,70,INTIMIDATE,GUTS,NULL,Flying,NULL,4080,2,0,White,1,Grassland,0,Pecker,It likes to stab things with its sharp beak. The red spots on its body are wet and have a metallic smell.,0,0,0,NULL,NULL,NULL,NULL,0
13,734,Rybeak,RYBEAK,NORMAL,FLYING,55,80,60,40,35,60,Female50Percent,Parabolic,122,0,2,0,0,0,0,255,70,INTIMIDATE,GUTS,NULL,Flying,NULL,4080,15.5,0,White,1,Grassland,0,Cutter,Its scythe-like beak can slash through steel. Its metal talons do severe damage to its prey while it carries them off.,0,0,0,NULL,NULL,NULL,NULL,0
14,735,Krosbeak,KROSBEAK,STEEL,FLYING,70,140,90,50,50,70,Female50Percent,Parabolic,211,0,3,0,0,0,0,255,70,INTIMIDATE,GUTS,NULL,Flying,NULL,4080,70.2,0,Black,1,Grassland,0,Sharp Edge,Its steel jaws are like pincers that can shear through anything. There are traces of iron all over its body.,0,0,0,NULL,NULL,NULL,NULL,0
15,736,Dengo,DENGO,GROUND,NULL,45,60,35,25,55,65,Female50Percent,Parabolic,55,0,1,0,0,0,0,255,70,SANDFORCE,SANDVEIL,NULL,Field,NULL,4080,17.1,0,Brown,1,NULL,0,Sand,"Its thick coat protects it from harsh sunlight during the day, as well as cold temperatures at night. It enjoys playing and hiding in sand.",0,0,0,NULL,NULL,NULL,NULL,0
16,737,Doongo,DOONGO,GROUND,NULL,75,100,75,65,70,120,Female50Percent,Parabolic,147,0,2,0,0,0,0,127,70,SANDFORCE,SANDSTREAM,NULL,Field,NULL,4080,142,0,Brown,1,NULL,0,Sand,It's most active right before sunrise and sunset. The lenses around its eyes give it night vision and allow it to hunt easily even during sandstorms.,0,0,0,NULL,NULL,NULL,NULL,0
17,738,Tumbli,TUMBLI,GRASS,NULL,40,40,70,40,70,40,Female50Percent,Medium,55,0,0,1,0,0,0,255,70,REGENERATOR,HARVEST,NULL,Grass,NULL,5355,1.2,0,Brown,1,RoughTerrain,0,Tumbleweed,It grows by rolling on the ground and merging dead plants with its body. This Pokémon is said to have a mysterious secret.,0,0,0,NULL,NULL,NULL,NULL,0
18,739,Tumblow,TUMBLOW,GRASS,NULL,65,70,90,50,90,60,Female50Percent,Medium,130,0,0,1,0,0,0,127,70,REGENERATOR,HARVEST,NULL,Grass,NULL,5355,11,0,Brown,1,RoughTerrain,0,Tumbleweed,This carefree Pokémon goes wherever the wind takes it. It continues to increase its size by gathering things around it.,0,0,0,NULL,NULL,NULL,NULL,0
19,740,Gorweed,GOLWEED,GRASS,GROUND,75,110,120,70,100,50,Female50Percent,Medium,130,0,1,2,0,0,0,45,70,REGENERATOR,HARVEST,NULL,Grass,NULL,5355,110,0,Brown,1,RoughTerrain,0,Tumbleweed,It reveals its massive form by saving energy and plant matter until it evolved. It can attach itself to the ground using dead tree roots.,0,0,0,NULL,NULL,NULL,NULL,0
